Specimen.I,Species,Complex,Year,Lat,Lon,Color.Code,Color,Notes,T2T3Red,USA1_alt
562539,melanopygus,Pacific,1949,38.420497,-122.354016,A9M,Black,,0,30
562541,melanopygus,Pacific,1949,38.4205,-122.354,S2M,Black,,0,30
562524,melanopygus,Pacific,1950,32.714853,-117.146662,A4M,Black,,0,31
562546,melanopygus,Pacific,1955,37.527222,-122.513056,S2M,Black,,0,36
562422,melanopygus,Pacific,1966,38.07,-122.204167,A7M,Black,,0,38
BMEC_ENT 00007085,melanopygus,Pacific,1969,38.08333,-122.91666,P6,Black,,0,39
562580,melanopygus,Pacific,1960,37.735833,-122.487778,A7M,Black,,0,44
OS0000908880,melanopygus,Pacific,1967,42.053,-124.284,P6,Black,,0,44
562527,melanopygus,Pacific,1953,32.720278,-117.145,A4M,Black,,0,45
561579,melanopygus,Pacific,1915,37.418889,-122.172222,A8M,Black,,0,45
562384,melanopygus,Pacific,1916,37.418889,-122.172222,P7M,Black,,0,45
562386,melanopygus,Pacific,1930,37.418889,-122.172222,A7M,Black,,0,45
BMEC_ENT 00001659,melanopygus,Pacific,1961,38.436855,-122.402201,A10,Black,,0,45
BMEC_ENT 00006838,melanopygus,Pacific,1961,38.436855,-122.402201,A8,Black,,0,45
BBSL459121,melanopygus,Pacific,2002,37.99196,-122.13058,A8,Black,,0,46
BBSL459134,melanopygus,Pacific,2002,37.99196,-122.13058,A8,Black,,0,46
BBSL459135,melanopygus,Pacific,2002,37.99196,-122.13058,A8,Black,,0,46
BBSL459141,melanopygus,Pacific,2002,37.99196,-122.13058,BBSL2,Black,,0,46
562559,melanopygus,Pacific,1950,37.981111,-121.805278,A4M,Black,,0,49
562560,melanopygus,Pacific,1952,37.981111,-121.805278,A4M,Black,,0,49
OTM 047,melanopygus,,2016,41.221,-124.094,,Black,,0,49
562620,melanopygus,Pacific,1975,43.846944,-124.147222,A6M,Black,,0,52
BMEC_ENT 00006192,melanopygus,Pacific,1953,38.35667,-121.98667,E1,Black,,0,54
BMEC_ENT 00006942,melanopygus,Pacific,1953,38.35667,-121.98667,P6,Black,,0,54
ENT.709304,melanopygus,Pacific,1967,34.020228,-119.68489,P7,Black,,0,55
ENT.709305,melanopygus,Pacific,1967,34.020228,-119.68489,P6,Black,,0,55
ENT.709312,melanopygus,Pacific,1967,34.020228,-119.68489,P8,Black,,0,55
9549,melanopygus,Pacific,1973,37.871667,-122.272778,A4M,Black,,0,56
562437,melanopygus,Pacific,1959,37.871667,-122.272778,A9M,Black,,0,56
562438,melanopygus,Pacific,1946,37.871667,-122.272778,A9M,Black,,0,56
562439,melanopygus,Pacific,1947,37.871667,-122.272778,P7M,Black,,0,56
562440,melanopygus,Pacific,1961,37.871667,-122.272778,A7M,Black,,0,56
562441,melanopygus,Pacific,1966,37.871667,-122.272778,P10M,Black,,0,56
562442,melanopygus,Pacific,1979,37.871667,-122.272778,E3M,Black,,0,56
562443,melanopygus,Pacific,1979,37.871667,-122.272778,A9M,Black,,0,56
561606,melanopygus,Pacific,1961,37.871667,-122.272778,P6,Black,,0,56
561608,melanopygus,Pacific,1966,37.871667,-122.272778,P6,Black,,0,56
561609,melanopygus,Pacific,1966,37.871667,-122.272778,A7,Black,,0,56
561610,melanopygus,Pacific,1966,37.871667,-122.272778,A7,Black,,0,56
561611,melanopygus,Pacific,1949,37.871667,-122.272778,E1,Black,,0,56
561612,melanopygus,Pacific,1950,37.871667,-122.272778,P6,Black,,0,56
561613,melanopygus,Pacific,1952,37.871667,-122.272778,P6,Black,,0,56
561614,melanopygus,Pacific,1952,37.871667,-122.272778,P6,Black,,0,56
561615,melanopygus,Pacific,1950,37.871667,-122.272778,A7,Black,,0,56
561616,melanopygus,Pacific,1962,37.871667,-122.272778,P6,Black,,0,56
561618,melanopygus,Pacific,1965,37.871667,-122.272778,P6,Black,,0,56
561620,melanopygus,Pacific,1973,37.871667,-122.272778,P6,Black,,0,56
561621,melanopygus,Pacific,1992,37.871667,-122.272778,P6,Black,,0,56
AMNH_BEE 00054275,melanopygus,Pacific,1965,37.87167,-122.27167,A7,Black,,0,56
AMNH_BEE 00054276,melanopygus,Pacific,1965,37.87167,-122.27167,A7,Black,,0,56
AMNH_BEE 00054278,melanopygus,Pacific,1965,37.87167,-122.27167,A7,Black,,0,56
AMNH_BEE 00054279,melanopygus,Pacific,1965,37.87167,-122.27167,A7,Black,,0,56
AMNH_BEE 00054280,melanopygus,Pacific,1965,37.87167,-122.27167,A6,Black,,0,56
AMNH_BEE 00122019,melanopygus,Pacific,1956,37.87167,-122.27167,P9,Black,,0,56
AMNH_BEE 00122049,melanopygus,Pacific,1933,37.87167,-122.27167,A8,Black,,0,56
BMEC_ENT 00006711,melanopygus,Pacific,1955,37.87167,-122.27167,A8,Black,,0,56
BBSL397496,melanopygus,Pacific,1964,37.8717,-122.2728,P6,Black,,0,56
BBSL397506,melanopygus,Pacific,1964,37.8717,-122.2728,P6,Black,,0,56
Bmel B059,melanopygus,,2014,42.10419167,-124.3457361,,Black,,0,56
Bmel B055,melanopygus,,2013,42.10433056,-124.3465667,,Black,,0,56
Bmel B071,melanopygus,,2014,42.10439722,-124.34695,,Black,,0,56
Bmel B070,melanopygus,Pacific,2014,42.10459722,-124.3467667,,Black,,0,56
Bmel B030,melanopygus,,2014,42.10630556,-124.3464917,,Black,,0,56
Bmel B001 Genomic Voucher,melanopygus,Pacific,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B003 voucher genomic,melanopygus,Pacific,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B004 Genomic Voucher,melanopygus,Pacific,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B037,melanopygus,,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B056,melanopygus,,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B066,melanopygus,,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B067,melanopygus,,2013,42.10651111,-124.3466306,,Black,,0,56
Bmel B073,melanopygus,,2013,42.10651111,-124.3466306,,Black,,0,56
AMNH_BEE 00112645,melanopygus,Pacific,2001,37.68083,-122.4,A7M,Black,,0,58
562584,melanopygus,Pacific,1965,34.035556,-118.515556,A4M,Black,,0,62
561703,melanopygus,Pacific,1965,34.035556,-118.515556,E2,Black,,0,62
562562,melanopygus,Pacific,1991,37.917222,-122.3025,P6M,Black,,0,62
562581,melanopygus,Pacific,1957,37.759167,-122.441111,E7M,Black,,0,70
562390,melanopygus,Pacific,1966,37.227222,-121.751944,A7M,Black,,0,75
BMEC_ENT 00006899,melanopygus,Pacific,1960,36.328,-121.2859,E2,Black,,0,79
BMEC_ENT 00006900,melanopygus,Pacific,1960,36.328,-121.2859,A8,Black,,0,79
BMEC_ENT 00007033,melanopygus,Pacific,1973,36.328,-121.2859,A8,Black,,0,79
BMEC_ENT 00007046,melanopygus,Pacific,1973,36.328,-121.2859,E2,Black,,0,79
BMEC_ENT 00006893,melanopygus,Pacific,1959,38.48269,-121.04411,A7,Black,,0,80
BMEC_ENT 00006894,melanopygus,Pacific,1959,38.48269,-121.04411,E2,Black,,0,80
BMEC_ENT 00006895,melanopygus,Pacific,1959,38.48269,-121.04411,A8,Black,,0,80
BMEC_ENT 00006896,melanopygus,Pacific,1959,38.48269,-121.04411,P6,Black,,0,80
AMNH_BEE 00122022,melanopygus,Pacific,1921,34.35417,-119.05833,P10,Black,,0,86
Beme 012 voucher genomic,melanopygus,Pacific,2014,42.32882778,-124.4265417,,Black,,0,89
Bmel 012 voucher genomic,melanopygus,Pacific,2014,42.32882778,-124.4265417,,Black,,0,89
Bmel B036,melanopygus,Pacific,2013,42.3289,-124.4258611,,Black,,0,89
Bmel B036,melanopygus,,2013,42.3289,-124.4258611,,Black,,0,89
BMEC_ENT 00007068,melanopygus,Pacific,1969,37.48833,-121.20583,A8,Black,,0,90
BMEC_ENT 00007074,melanopygus,Pacific,1969,37.48833,-121.20583,A8,Black,,0,90
561663,melanopygus,Pacific,1985,37.489049,-121.206816,P6,Black,,0,90
BBSL647563,melanopygus,Pacific,2005,37.973,-122.1283,A7M,Black,yellow on T2 is one band),0,93
BBSL647579,melanopygus,Pacific,2005,37.973,-122.1283,E3M,Black,,0,93
BBSL647594,melanopygus,Pacific,2005,37.973,-122.1283,A7M,Black,yellow on T2 is one band),0,93
BBSL647581,melanopygus,Pacific,2005,37.973,-122.1283,A8,Black,,0,93
Bmel B063,melanopygus,,2015,40.3273,-123.925468,,Black,,0,94
562434,melanopygus,Pacific,1912,37.824167,-122.231389,A4M,Black,,0,97
562435,melanopygus,Pacific,1912,37.824167,-122.231389,A9M,Black,,0,97
562436,melanopygus,Pacific,1912,37.824167,-122.231389,A9M,Black,,0,97
AMNH_BEE 00054264,melanopygus,Rocky,1925,36.55363,-121.9138,A5,Black,,0,98
OTM 038,melanopygus,Pacific,2016,41.797,-124.083,,Black,,0,98
Bmel B051,melanopygus,,2015,41.797607,-124.081845,,Black,,0,98
BMEC_ENT 00006163,melanopygus,Pacific,1951,38.36416,-122.52416,E2,Black,,0,100
BMEC_ENT 00006964,melanopygus,Pacific,1956,38.36416,-122.52416,E1,Black,,0,100
BMEC_ENT 00006965,melanopygus,Pacific,1956,38.36416,-122.52416,P6,Black,,0,100
BMEC_ENT 00007004,melanopygus,Pacific,1968,38.88,-122.05,A7,Black,,0,100
562571,melanopygus,Pacific,1920,36.2125,-121.125833,A7M,Black,,0,101
AMNH_BEE 00122029,melanopygus,Pacific,1964,41.157,-124.124,A7,Black,,0,103
AMNH_BEE 00122030,melanopygus,Pacific,1964,41.157,-124.124,A6,Black,,0,103
AMNH_BEE 00122031,melanopygus,Pacific,1964,41.157,-124.124,A7,Black,,0,103
AMNH_BEE 00122032,melanopygus,Pacific,1964,41.157,-124.124,A7,Black,,0,103
BMEC_ENT 00006691,melanopygus,Pacific,1965,36.33028,-119.29111,E2,Black,,0,106
BMEC_ENT 00006692,melanopygus,Pacific,1955,36.33028,-119.29111,A8,Black,,0,106
562387,melanopygus,Pacific,1951,37.236111,-121.961389,A4M,Black,,0,107
562388,melanopygus,Pacific,1951,37.236111,-121.961389,A8M,Black,,0,107
562389,melanopygus,Pacific,1951,37.236111,-121.961389,A9M,Black,,0,107
561698,melanopygus,Pacific,1917,34.052222,-118.243611,P6,Black,,0,109
561699,melanopygus,Pacific,1946,34.052222,-118.243611,A7,Black,,0,109
562547,melanopygus,Pacific,1962,37.450833,-122.254722,A7M,Black,,0,109
562548,melanopygus,Pacific,1962,37.450833,-122.254722,A9M,Black,,0,109
562549,melanopygus,Pacific,1962,37.450833,-122.254722,A4M,Black,,0,109
562550,melanopygus,Pacific,1962,37.450833,-122.254722,A4M,Black,,0,109
BMEC_ENT 00007018,melanopygus,Pacific,1979,38.8219,-122.1851,A8,Black,,0,109
BMEC_ENT 00007019,melanopygus,Pacific,1979,38.8219,-122.1851,P6,Black,,0,109
BMEC_ENT 00007032,melanopygus,Pacific,1979,38.8219,-122.1851,A8,Black,,0,109
AMNH_BEE 00121361,melanopygus,Pacific,1936,36.9878,-119.7108,A4M,Black,,0,110
AMNH_BEE 00122040,melanopygus,Pacific,1936,36.9878,-119.7108,A6,Black,,0,110
AMNH_BEE 00122041,melanopygus,Pacific,1936,36.9878,-119.7108,A7,Black,,0,110
AMNH_BEE 00122042,melanopygus,Pacific,1936,36.9878,-119.7108,A7,Black,,0,110
AMNH_BEE 00122043,melanopygus,Pacific,1936,36.9878,-119.7108,A6,Black,,0,110
BMEC_ENT 00006187,melanopygus,Pacific,1933,37.22638,-121.97444,E2,Black,,0,110
BMEC_ENT 00006938,melanopygus,Pacific,1933,37.22638,-121.97444,A8,Black,,0,110
BBSL428874,melanopygus,Pacific,2001,43.49828,-123.48988,BBSL3,Black,,0,111
AMNH_BEE 00121363,melanopygus,Pacific,1936,37.71472,-121.55805,A4M,Black,,0,116
562545,melanopygus,Pacific,1961,37.705556,-122.461944,A7M,Black,,0,117
562551,melanopygus,Pacific,1962,37.670278,-122.428056,A7M,Black,,0,122
BMEC_ENT 00007020,melanopygus,Pacific,1965,37.95583,-122.57417,P6,Black,,0,124
BBSL226644,melanopygus,Pacific,1935,40.22292,-123.64336,A7M,Black,,0,124
BBSL226645,melanopygus,Pacific,1935,40.22292,-123.64336,A7M,Black,,0,124
BBSL226646,melanopygus,Pacific,1935,40.22292,-123.64336,E7M,Black,,0,124
AMNH_BEE 00121369,melanopygus,Pacific,1935,40.22383,-123.6445,P10M,Black,,0,124
AMNH_BEE 00054284,melanopygus,Pacific,1935,40.22383,-123.6445,A6,Black,,0,124
AMNH_BEE 00122050,melanopygus,Pacific,1935,40.22383,-123.6445,A8,Black,,0,124
AMNH_BEE 00054292,melanopygus,Rocky,1935,40.22383,-123.6445,A5,Black,,0,124
AMNH_BEE 00058107,melanopygus,Rocky,1935,40.22383,-123.6445,A5,Black,,0,124
BBSL226647,melanopygus,Pacific,1935,40.35541,-123.92587,E7M,Black,,0,125
BBSL226649,melanopygus,Pacific,1935,40.35541,-123.92587,E9M,Black,,0,125
BMEC_ENT 00007050,melanopygus,Pacific,1970,38.5144,-122.0784,E1,Black,,0,126
BMEC_ENT 00006712,melanopygus,Pacific,1961,40.23444,-123.82361,E2,Black,,0,128
AMNH_BEE 00054259,melanopygus,Rocky,1960,40.23472,-123.8225,A1,Black,,0,128
BBSL226652,melanopygus,Pacific,1936,38.57768,-122.20719,A4M,Black,,0,129
BBSL226653,melanopygus,Pacific,1936,38.57768,-122.20719,E9M,Black,,0,129
BBSL226654,melanopygus,Pacific,1936,38.57768,-122.20719,E9M,Black,,0,129
BMEC_ENT 00006619,melanopygus,Pacific,1970,38.5777,-122.2072,E1,Black,,0,129
BMEC_ENT 00006625,melanopygus,Pacific,1979,38.88833,-122.23639,E1,Black,,0,130
BMEC_ENT 00006910,melanopygus,Pacific,1959,38.88833,-122.23639,A8,Black,,0,130
BMEC_ENT 00006911,melanopygus,Pacific,1959,38.88833,-122.23639,P6,Black,,0,130
BMEC_ENT 00006912,melanopygus,Pacific,1959,38.88833,-122.23639,A8,Black,,0,130
BMEC_ENT 00006916,melanopygus,Pacific,1953,38.88833,-122.23639,A8,Black,,0,130
AMNH_BEE 00122051,melanopygus,Pacific,1935,40.10028,-123.79389,A7,Black,,0,131
AMNH_BEE 00254769,melanopygus,Pacific,1967,32.858,-116.922,P9,Black,,0,133
Bmel B022,melanopygus,,2016,43.209836,-124.31046,,Black,,0,139
BMEC_ENT 00006188,melanopygus,Pacific,1952,36.4275,-119.11611,E1,Black,,0,140
BMEC_ENT 00006926,melanopygus,Pacific,1949,36.4275,-119.11611,E2,Black,,0,140
561639,melanopygus,Pacific,1988,36.070084,-121.59904,P6,Black,,0,146
562574,melanopygus,Pacific,1982,36.073333,-121.594722,A9M,Black,,0,146
562391,melanopygus,Pacific,1946,37.529444,-121.915556,E7M,Black,,0,146
562392,melanopygus,Pacific,1946,37.529444,-121.915556,A7M,Black,,0,146
BMEC_ENT 00006961,melanopygus,Pacific,1956,38.48111,-122.37333,A8,Black,,0,147
BMEC_ENT 00006962,melanopygus,Pacific,1956,38.48111,-122.37333,A7,Black,,0,147
BMEC_ENT 00006963,melanopygus,Pacific,1956,38.48111,-122.37333,P6,Black,,0,147
BMEC_ENT 00006966,melanopygus,Pacific,1956,38.48111,-122.37333,A8,Black,,0,147
562563,melanopygus,Pacific,1991,37.907222,-122.275556,A9M,Black,,0,149
562564,melanopygus,Pacific,1991,37.907222,-122.275556,A4M,Black,,0,149
562565,melanopygus,Pacific,1991,37.907222,-122.275556,A4M,Black,,0,149
562566,melanopygus,Pacific,1991,37.907222,-122.275556,A4M,Black,,0,149
562567,melanopygus,Pacific,1991,37.907222,-122.275556,A7M,Black,,0,149
562501,melanopygus,Pacific,1985,34.0175,-119.841111,A9M,Black,,0,158
562505,melanopygus,Pacific,1966,34.020556,-119.836111,A9M,Black,,0,158
562506,melanopygus,Pacific,1966,34.020556,-119.836111,P7M,Black,,0,158
562507,melanopygus,Pacific,1966,34.020556,-119.836111,A4M,Black,,0,158
562393,melanopygus,Pacific,1954,38.506389,-122.212222,A7M,Black,,0,163
562542,melanopygus,Pacific,1961,38.506389,-122.212222,A9M,Black,,0,163
562502,melanopygus,Pacific,2000,33.977778,-119.724444,E3M,Black,,0,164
BMEC_ENT 00006623,melanopygus,Pacific,1971,40.58667,-122.39056,E1,Black,,0,167
BMEC_ENT 00006164,melanopygus,Pacific,1952,34.1425,-118.25417,E2,Black,,0,171
562552,melanopygus,Pacific,1979,37.877222,-122.179722,A7M,Black,,0,174
562554,melanopygus,Pacific,1979,37.877222,-122.179722,A4M,Black,,0,174
562556,melanopygus,Pacific,1979,37.877222,-122.179722,A9M,Black,,0,174
562557,melanopygus,Pacific,1979,37.877222,-122.179722,A4M,Black,,0,174
BMEC_ENT 00006987,melanopygus,Pacific,1968,36.2818,-121.33244,A8,Black,,0,178
BMEC_ENT 00006988,melanopygus,Pacific,1968,36.2818,-121.33244,E1,Black,,0,178
BMEC_ENT 00006989,melanopygus,Pacific,1968,36.2818,-121.33244,A8,Black,,0,178
BMEC_ENT 00006990,melanopygus,Pacific,1968,36.2818,-121.33244,A8,Black,,0,178
100070,melanopygus,Pacific,1971,37.041944,-121.942222,A9M,Black,,0,179
100071,melanopygus,Pacific,1971,37.041944,-121.942222,A9M,Black,,0,179
100072,melanopygus,Pacific,1971,37.041944,-121.942222,A7M,Black,,0,179
101303,melanopygus,Pacific,1971,37.041944,-121.942222,A4M,Black,,0,179
102072,melanopygus,Pacific,1972,37.041944,-121.942222,A4M,Black,,0,179
104657,melanopygus,Pacific,1971,37.041944,-121.942222,A4M,Black,,0,179
104658,melanopygus,Pacific,1971,37.041944,-121.942222,A9M,Black,,0,179
123703,melanopygus,Pacific,1972,37.041944,-121.942222,A4M,Black,,0,179
126214,melanopygus,Pacific,1972,37.041944,-121.942222,A7M,Black,,0,179
185852,melanopygus,Pacific,1973,37.041944,-121.942222,A7M,Black,,0,179
185853,melanopygus,Pacific,1973,37.041944,-121.942222,A8M,Black,,0,179
AMNH_BEE 00071333,melanopygus,Pacific,2008,37.9192,-122.10884,A4M,Black,,0,183
AMNH_BEE 00071334,melanopygus,Pacific,2008,37.9192,-122.10884,A4M,Black,,0,183
AMNH_BEE 00071335,melanopygus,Pacific,2008,37.9192,-122.10884,A4M,Black,,0,183
AMNH_BEE 00071336,melanopygus,Pacific,2008,37.9192,-122.10884,A4M,Black,,0,183
AMNH_BEE 00071337,melanopygus,Pacific,2008,37.9192,-122.10884,A4M,Black,,0,183
AMNH_BEE 00071338,melanopygus,Pacific,2008,37.9192,-122.10884,P9M,Black,,0,183
AMNH_BEE 00162817,melanopygus,Pacific,2010,37.9192,-122.10884,A4M,Black,,0,183
AMNH_BEE 00162818,melanopygus,Pacific,2010,37.9192,-122.10884,A7M,Black,,0,183
AMNH_BEE 00223609,melanopygus,Pacific,2011,37.9192,-122.10884,A7,Black,,0,183
AMNH_BEE 00266247,melanopygus,Pacific,2013,37.9192,-122.10884,A6,Black,,0,183
AMNH_BEE 00266252,melanopygus,Pacific,2013,37.9192,-122.10884,A7,Black,,0,183
AMNH_BEE 00071342,melanopygus,Rocky,2008,37.9192,-122.10884,A5,Black,,0,183
AMNH_BEE 00071343,melanopygus,Rocky,2008,37.9192,-122.10884,A5,Black,,0,183
AMNH_BEE 00071344,melanopygus,Rocky,2008,37.9192,-122.10884,A5,Black,,0,183
AMNH_BEE 00112634,melanopygus,Rocky,2001,37.9192,-122.10884,A5,Black,,0,183
